Code
91
60
1
20
44
84
92
961
962
965
966
968
971
974
61
49
81
973
27
31
32
34
65
66
33
353
41
46
960
64
94
263
852
964
63
86
880
230
977
967
7
93
62
52
82
853
886
241
233
261
963
380
678
597
256
248
994
45
998
358
381
212
242
213
255
254
291
40
231
250
234
243
264
265
249
251
218
260
593
98
996
53
47
979
689
355
808
377
55
599
90
266
993
54
670
675
269
48
39
267
596
356
36
246
972
855
504
57
354
992
976
95
677
56
30
507
220
421
222
970
58
350
995
235
679
385
856
262
672
685
389
298
245
975
378
676
224
257
51
357
509
382
216
888
505
244
850
223
352
387
228
43
240
253
508
232
225
501
34
386
371
687
252
503
870
372
351
375
373
227
674
238
680
237
502
800
590
506
229
882
268
500
423
290
370
359
682
595
299
681
420
686
239
221
247
1
236
690
226
591
673
881
379
592
91
374
258
376
211
598
43
594
